启运港,目的港,航线ID,开航日,航程(计划),共舱船公司,航线备注,船名航次,年份,船型,船期,启运港码头,目的港码头,航程(当次)
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM INTELLIGENT/279S,2006,1799 TEU,2025/11/18,日照码头,YANGMING,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM IDEALS/442S,,,2025/11/27,日照码头,YANGMING,3天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM INTELLIGENT/280S,2006,1799 TEU,2025/12/2,日照码头,YANGMING,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM IDEALS/443S,,,2025/12/10,日照码头,YANGMING,3天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM INTELLIGENT/281S,2006,1799 TEU,2025/12/16,日照码头,YANGMING,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM IDEALS/444S,,,2025/12/23,日照码头,YANGMING,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM INTELLIGENT/282S,2006,1799 TEU,2025/12/30,日照码头,YANGMING,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,WAN HAI 271/S251,,,2025/11/18,日照码头,WAN HAI,3天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,XINDE KEELUNG/S524,,,2025/11/25,日照码头,WAN HAI,3天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,WAN HAI 271/S252,,,2025/12/2,日照码头,WAN HAI,3天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,XINDE KEELUNG/S525,,,2025/12/9,日照码头,WAN HAI,3天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,WAN HAI 271/S253,,,2025/12/16,日照码头,WAN HAI,3天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,XINDE KEELUNG/2526S,,,2025/12/23,日照码头,WAN HAI,3天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,WAN HAI 271/S254,,,2025/12/30,日照码头,WAN HAI,3天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,XINDE KEELUNG/2527S,,,2026/1/6,日照码头,WAN HAI,3天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,EVER CREATE/0881-081B,2021,1809 TEU,2025/11/20,日照码头,KAOHSIUNG,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,UNI-PROBITY/0882-392B,2001,1618 TEU,2025/11/27,日照码头,KAOHSIUNG,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,EVER CONVEY/0883-104B,,,2025/12/4,日照码头,KAOHSIUNG,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,EVER CREATE/0884-082B,2021,1809 TEU,2025/12/11,日照码头,KAOHSIUNG,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,UNI-PROBITY/0885-393B,2001,1618 TEU,2025/12/18,日照码头,KAOHSIUNG,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,EVER CONVEY/0886-105B,,,2025/12/25,日照码头,KAOHSIUNG,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,EVER CREATE/0887-083B,2021,1809 TEU,2026/1/1,日照码头,KAOHSIUNG,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,6eddc70fd98388fd8b7c44a74b4e3adb,周六,5天,COSCO(CTW1) | 泛亚航运(CTW1) | 华冈 | OOCL(NTX),台湾直航,空班/,,,2025/11/22,日照码头,OOCL,5天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,6eddc70fd98388fd8b7c44a74b4e3adb,周六,5天,COSCO(CTW1) | 泛亚航运(CTW1) | 华冈 | OOCL(NTX),台湾直航,FEI YUN HE/553S,,,2025/11/26,日照码头,OOCL,5天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,6eddc70fd98388fd8b7c44a74b4e3adb,周六,5天,COSCO(CTW1) | 泛亚航运(CTW1) | 华冈 | OOCL(NTX),台湾直航,TENG YUN HE/402S,,,2025/11/26,日照码头,OOCL,5天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,6eddc70fd98388fd8b7c44a74b4e3adb,周六,5天,COSCO(CTW1) | 泛亚航运(CTW1) | 华冈 | OOCL(NTX),台湾直航,TENG YUN HE/403S,,,2025/12/9,日照码头,OOCL,5天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,6eddc70fd98388fd8b7c44a74b4e3adb,周六,5天,COSCO(CTW1) | 泛亚航运(CTW1) | 华冈 | OOCL(NTX),台湾直航,FEI YUN HE/554S,,,2025/12/10,日照码头,OOCL,5天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,6eddc70fd98388fd8b7c44a74b4e3adb,周六,5天,COSCO(CTW1) | 泛亚航运(CTW1) | 华冈 | OOCL(NTX),台湾直航,TENG YUN HE/404S,,,2025/12/22,日照码头,OOCL,5天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,6eddc70fd98388fd8b7c44a74b4e3adb,周六,5天,COSCO(CTW1) | 泛亚航运(CTW1) | 华冈 | OOCL(NTX),台湾直航,FEI YUN HE/555S,,,2025/12/24,日照码头,OOCL,5天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,6eddc70fd98388fd8b7c44a74b4e3adb,周六,5天,COSCO(CTW1) | 泛亚航运(CTW1) | 华冈 | OOCL(NTX),台湾直航,TENG YUN HE/405S,,,2026/1/3,日照码头,OOCL,5天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,8b84107584188d272bb6a257cf6af675,周六,5天,外运集运(NCT2) | WHL(NT2) | SITC(NCT2),台湾直航,WAN HAI 275/S253,,,2025/11/21,日照码头,WAN HAI,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,8b84107584188d272bb6a257cf6af675,周六,5天,外运集运(NCT2) | WHL(NT2) | SITC(NCT2),台湾直航,DONG FANG QIANG/2524S,,,2025/11/28,日照码头,WAN HAI,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,8b84107584188d272bb6a257cf6af675,周六,5天,外运集运(NCT2) | WHL(NT2) | SITC(NCT2),台湾直航,WAN HAI 275/S254,,,2025/12/5,日照码头,WAN HAI,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,8b84107584188d272bb6a257cf6af675,周六,5天,外运集运(NCT2) | WHL(NT2) | SITC(NCT2),台湾直航,DONG FANG QIANG/2525S,,,2025/12/12,日照码头,WAN HAI,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,8b84107584188d272bb6a257cf6af675,周六,5天,外运集运(NCT2) | WHL(NT2) | SITC(NCT2),台湾直航,WAN HAI 275/S255,,,2025/12/19,日照码头,WAN HAI,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,8b84107584188d272bb6a257cf6af675,周六,5天,外运集运(NCT2) | WHL(NT2) | SITC(NCT2),台湾直航,DONG FANG QIANG/2526S,,,2025/12/26,日照码头,WAN HAI,4天
日照,明日数航船期查询东南亚中国台湾中国台湾高雄,8b84107584188d272bb6a257cf6af675,周六,5天,外运集运(NCT2) | WHL(NT2) | SITC(NCT2),台湾直航,WAN HAI 275/S256,,,2026/1/3,日照码头,WAN HAI,5天
青岛,明日数航船期查询中东印巴红海中东阿联酋杰贝阿里,6a0108cebe48e017d4211a26c12ca659,周一,22天,NZL(JFX) | 锦江航运(JFX) | EMC(JFX) | NEXUS(JFX) | 山东远洋(JFX) | 汇合航运(JJFX) | PEAK(CJS) | HORIZON(JFX) | ZIM(GGX) | UNIFEEDER | X-PRESS(JFX) | TSL(CME) | 长锦(SGX2) | 兴亚(SGX2) | 中联航运(JFX),中东直航,X-PRESS CAPELLA/25410W,2023,7000 TEU,2025/11/22,前湾码头,T3,19天
青岛,明日数航船期查询中东印巴红海中东阿联酋杰贝阿里,6a0108cebe48e017d4211a26c12ca659,周一,22天,NZL(JFX) | 锦江航运(JFX) | EMC(JFX) | NEXUS(JFX) | 山东远洋(JFX) | 汇合航运(JJFX) | PEAK(CJS) | HORIZON(JFX) | ZIM(GGX) | UNIFEEDER | X-PRESS(JFX) | TSL(CME) | 长锦(SGX2) | 兴亚(SGX2) | 中联航运(JFX),中东直航,SYDNEY BRIDGE/2508W,2024,8030 TEU,2025/11/25,前湾码头,T3,21天
青岛,明日数航船期查询中东印巴红海中东阿联酋杰贝阿里,6a0108cebe48e017d4211a26c12ca659,周一,22天,NZL(JFX) | 锦江航运(JFX) | EMC(JFX) | NEXUS(JFX) | 山东远洋(JFX) | 汇合航运(JJFX) | PEAK(CJS) | HORIZON(JFX) | ZIM(GGX) | UNIFEEDER | X-PRESS(JFX) | TSL(CME) | 长锦(SGX2) | 兴亚(SGX2) | 中联航运(JFX),中东直航,EA JERSEY/25510W,2015,4896 TEU,2025/11/30,前湾码头,T3,23天
青岛,明日数航船期查询中东印巴红海中东阿联酋杰贝阿里,6a0108cebe48e017d4211a26c12ca659,周一,22天,NZL(JFX) | 锦江航运(JFX) | EMC(JFX) | NEXUS(JFX) | 山东远洋(JFX) | 汇合航运(JJFX) | PEAK(CJS) | HORIZON(JFX) | ZIM(GGX) | UNIFEEDER | X-PRESS(JFX) | TSL(CME) | 长锦(SGX2) | 兴亚(SGX2) | 中联航运(JFX),中东直航,ZHONG GU NAN JING/25110W,2023,4636 TEU,2025/12/10,前湾码头,T3,21天
